SDP Name,Revenue,Qty,Products,City
ASIAN CONTINENTAL (PVT) LIMITED,152996872.4,8353655.0,13,Asian Continental (Pvt) Limited
HAZZ INTERNATIONAL - KARACHI,151527974.16,52980.0,27,Hazz International - Karachi
MS CPEIC MULTAN,145204582.0895,44251.079,9,Ms Cpeic Multan
NOOR MEDICINE COMPANY,144404488.44,501472.0,189,Noor Medicine Company
PREMIER SALES PVT LTD-HAFIZABAD,143585158.91,471805.0,198,Hafizabad
PREMIER SALES PVT LTD-THATTA,134821717.53,449163.0,207,Thatta
RIZWAN MEDICINE COMPANY,134140963.48,426981.0,63,Rizwan Medicine Company
MOAZAM TRADERS - KOHAT,133644648.07000001,478603.0,187,Moazam Traders - Kohat
PREMIER SALES PVT LTD-GILGIT,130868827.89,429158.0,155,Gilgit
ONCOCARE PHARMACY,129760659.35,281851.0,126,Oncocare Pharmacy
PAKISTAN VACCINE HOUSE,117977196.3,38135.0,21,Pakistan Vaccine House
KHAN SEHAT LTD - AFG,114404873.85,6666813.0,85,Khan Sehat Ltd - Afg
PREMIER SALES PVT LTD-NOWSHERA,106547006.22,291147.0,208,Nowshera
WD PHARMA,101772458.57000001,680110.0,106,Wd Pharma
AL-ABBAS DISTRIBUTORS,95344295.28,272096.0,135,Al-Abbas Distributors
PREMIER SALES PVT LTD-BUREWALA,95188134.37,261543.0,203,Burewala
MEDI AIM PHARMA,91325263.24,881032.0,130,Medi Aim Pharma
PUNJAB INSTITUTE OF CARDIOLOGY,90219082.40100001,533418.106,21,Punjab Institute Of Cardiology
PREMIER SALES PVT LTD-BADIN,85741109.22,275430.0,191,Badin
LIFE CARE - RAWALPINDI,84143569.27,34725.0,15,Life Care - Rawalpindi
IDL PHARMA DISTRIBUTOR LAHORE,82394645.0,2710.0,5,Idl Pharma Distributor Lahore
PREMIER SALES PVT LTD-KHARIAN,80852976.87,197027.0,195,Kharian
MAX ENTERPRISES,78594319.13,688186.0,83,Max Enterprises
