SDP Name,Revenue,Qty,Products,City
SOHACO TRADING JOINT STOCK CO.,19215.06,23433.0,1,Sohaco Trading Joint Stock Co.
MEDSWANA (PTY) LTD,17113.88,14451.0,3,Medswana (Pty) Ltd
ENERGIA PHARMA LTD.,14415.060000000001,15706.0,2,Energia Pharma Ltd.
WEME,8664.33,9959.0,1,Weme
HATAY PHARMACEUTICAL JOINT CO.,7354.6,6686.0,1,Hatay Pharmaceutical Joint Co.
AL-BARAKAH MEDICAL CENTER,5750.0,3400.0,6,Al-Barakah Medical Center
YASMINA PHARMA SARL,5000.0,450.0,3,Yasmina Pharma Sarl
SAHEL PROMO SARL,4871.4,345.0,1,Sahel Promo Sarl
HARLEY'S LIMITED BURUNDI,3260.0,2000.0,2,Harley'S Limited Burundi
IMPERIAL WORLDWIDE LIMITED,1025.7,18.0,3,Imperial Worldwide Limited
AL KHIDMAT WELFARE SOCIETY,0.0,8000.0,1,Al Khidmat Welfare Society
