Yr,Mo,Forecast,FiscalYear,MAPE
2026,6,1898657166.3217165,FY25-26,0.008422612515042602
2026,7,489014530.1229528,FY26-27,0.008422612515042602
2026,8,782872471.4827422,FY26-27,0.008422612515042602
2026,9,781842932.1279887,FY26-27,0.008422612515042602
2026,10,821617764.8398391,FY26-27,0.008422612515042602
2026,11,819492471.6433961,FY26-27,0.008422612515042602
