Yr,Mo,Date,RequestorTeams,Product,ActivityHead,GLHead,TotalAmount,FiscalYear
2020,1,2020-01-01,DIGITAL MARKETING,Avsar,Advertisment (W/O Doctor),Advertisement In Magazine & Others - S&D,2027.0,FY19-20
2020,1,2020-01-01,DIGITAL MARKETING,Corporate Account Ad Pro,A&P JAHAN E MASEEHA,A&P Jahan E Maseeha,690.0,FY19-20
2020,1,2020-01-01,DIGITAL MARKETING,Inosita,Advertisment (W/O Doctor),Advertisement In Magazine & Others - S&D,10000.0,FY19-20
2020,1,2020-01-01,DIGITAL MARKETING,INOSITA PLUS XR,Advertisment (W/O Doctor),Advertisement In Magazine & Others - S&D,1000.0,FY19-20
2020,1,2020-01-01,X-TREME,Xplended,Social / Cultural (W/O Doctor),Social / Cultural / Educational Program  - S&D,60000.0,FY19-20
2020,1,2020-01-01,X-TREME,Xplended 20,Social / Cultural (W/O Doctor),Social / Cultural / Educational Program  - S&D,25000.0,FY19-20
2020,1,2020-01-02,CHALLENGERS,ANPLAG,Social / Cultural (W/O Doctor),Social / Cultural / Educational Program  - S&D,25000.0,FY19-20
2020,1,2020-01-02,CHALLENGERS,Avsar Plus,RTD (W/O Doctor),Social / Cultural / Educational Program  - S&D,20000.0,FY19-20
2020,1,2020-01-02,MAVERICKS,REKLAIM,Presentations (W/O Doctor),Seminars / Symposium / Video Shows - S&D,12000.0,FY19-20
2020,1,2020-01-03,Unknown,Duzalta,Equipment Medical & Other (With Doctor),Equipments - S&D,57500.0,FY19-20
2020,1,2020-01-03,BRAVO,Xcept,Presentations (W/O Doctor),Seminars / Symposium / Video Shows - S&D,60000.0,FY19-20
2020,1,2020-01-03,ELITE,Kalsob,Social / Cultural (W/O Doctor),Social / Cultural / Educational Program  - S&D,4800.0,FY19-20
2020,1,2020-01-03,ELITE,Opt-D,Social / Cultural (W/O Doctor),Social / Cultural / Educational Program  - S&D,4800.0,FY19-20
2020,1,2020-01-03,MAVERICKS,Telsarta-A,Social / Cultural (W/O Doctor),Social / Cultural / Educational Program  - S&D,14000.0,FY19-20
2020,1,2020-01-06,Unknown,Avsar,Screening (With Doctor),Screening - S&D,150000.0,FY19-20
2020,1,2020-01-06,Unknown,Lowplat,Course Fee For Doctors,Social / Cultural / Educational Program  - S&D,21000.0,FY19-20
2020,1,2020-01-06,Unknown,Lowplat,"Furniture,  Fixtures & Fittings",Renovation Wards - S&D,30832.0,FY19-20
2020,1,2020-01-06,Unknown,Lowplat,Social / Cultural (With Doctor),Social / Cultural / Educational Program  - S&D,12750.0,FY19-20
2020,1,2020-01-06,Unknown,Xplended,Social / Cultural (With Doctor),Social / Cultural / Educational Program  - S&D,12750.0,FY19-20
2020,1,2020-01-07,Unknown,Corporate Account Ad Pro,A&P CALENDAR,A&P Calendars,350000.0,FY19-20
2020,1,2020-01-07,Unknown,Evopride Plus,Equipments (With Doctor),Equipments - S&D,42800.0,FY19-20
2020,1,2020-01-08,Unknown,Avsar,Books (With Doctor),Books / Journals / Magazines - S&D,25608.0,FY19-20
2020,1,2020-01-08,Unknown,Lowplat,Salary For Contractual,Social / Cultural / Educational Program  - S&D,40000.0,FY19-20
2020,1,2020-01-08,Unknown,REKLAIM,"Furniture,  Fixtures & Fittings",Renovation Wards - S&D,52500.0,FY19-20
2020,1,2020-01-08,Unknown,Xplended,Salary For Contractual,Social / Cultural / Educational Program  - S&D,40000.0,FY19-20
2020,1,2020-01-08,CHAMPIONS,Lowplat,Salary For Contractual,Social / Cultural / Educational Program  - S&D,20000.0,FY19-20
2020,1,2020-01-08,GLADIATORS,Corporate Account Ad Pro,A&P CONTRACTUAL MARKETING SUPPORT PROFESSIONALS (KHWAJA RAZI HAIDER ETC),Other,44000.0,FY19-20
2020,1,2020-01-08,MAVERICKS,REKLAIM,Presentations (W/O Doctor),Seminars / Symposium / Video Shows - S&D,40000.0,FY19-20
2020,1,2020-01-08,TRANSFORMERS,Lacteus,Social / Cultural (W/O Doctor),Social / Cultural / Educational Program  - S&D,35000.0,FY19-20
2020,1,2020-01-09,Unknown,BYVAS,Social / Cultural (With Doctor),Social / Cultural / Educational Program  - S&D,12300.0,FY19-20
2020,1,2020-01-09,BRAVO,SACVIN,Social / Cultural (W/O Doctor),Social / Cultural / Educational Program  - S&D,50000.0,FY19-20
2020,1,2020-01-09,BRAVO,Xcept,Presentations (W/O Doctor),Seminars / Symposium / Video Shows - S&D,15000.0,FY19-20
2020,1,2020-01-10,Unknown,Avsar,Salary For Contractual,Social / Cultural / Educational Program  - S&D,80000.0,FY19-20
2020,1,2020-01-10,BRAVO,Xcept,Equipment Medical & Other (W/O Doctor),Equipments - S&D,20000.0,FY19-20
2020,1,2020-01-13,CHALLENGERS,ANPLAG,Seminar (W/O Doctor),Seminars / Symposium / Video Shows - S&D,10000.0,FY19-20
2020,1,2020-01-13,CHAMPIONS,ERLI,Social / Cultural (W/O Doctor),Social / Cultural / Educational Program  - S&D,50000.0,FY19-20
2020,1,2020-01-13,INSTITUTIONAL,Actiflor,Samples,Physician Sample - S&D,100000.0,FY19-20
2020,1,2020-01-13,LEGENDS,BYVAS,RTD (W/O Doctor),Social / Cultural / Educational Program  - S&D,10000.0,FY19-20
2020,1,2020-01-13,MAVERICKS,Evopride,Others,Others - S&D,15000.0,FY19-20
2020,1,2020-01-13,MAVERICKS,REKLAIM,Presentations (With Doctor),Seminars / Symposium / Video Shows - S&D,15000.0,FY19-20
2020,1,2020-01-14,Unknown,INOSITA PLUS XR,Course Fee For Doctors,Social / Cultural / Educational Program  - S&D,100000.0,FY19-20
2020,1,2020-01-14,BONE SAVIORS,OPT-D INJ,Social / Cultural (W/O Doctor),Social / Cultural / Educational Program  - S&D,38000.0,FY19-20
2020,1,2020-01-15,Unknown,Lowplat,Renovation Ward (With Doctor),Renovation Wards - S&D,120880.0,FY19-20
2020,1,2020-01-15,Unknown,Lowplat,Workshops (With Doctor),Seminars / Symposium / Video Shows - S&D,100000.0,FY19-20
2020,1,2020-01-15,Unknown,Lowplat Plus,Workshops (With Doctor),Seminars / Symposium / Video Shows - S&D,100000.0,FY19-20
2020,1,2020-01-15,BRAVO,Xplended 20,Social / Cultural (W/O Doctor),Social / Cultural / Educational Program  - S&D,25000.0,FY19-20
2020,1,2020-01-15,CHAMPIONS,Lowplat,Presentations (W/O Doctor),Seminars / Symposium / Video Shows - S&D,36000.0,FY19-20
2020,1,2020-01-15,INTERNATIONAL MARKETS,K1000,Presentations (W/O Doctor),Seminars / Symposium / Video Shows - S&D,225000.0,FY19-20
2020,1,2020-01-15,TITANS,PARIDOPA,Social / Cultural (W/O Doctor),Social / Cultural / Educational Program  - S&D,55000.0,FY19-20
2020,1,2020-01-16,Unknown,Lowplat,Course Fee For Doctors,Social / Cultural / Educational Program  - S&D,140999.0,FY19-20
2020,1,2020-01-16,BRAVO,Xcept,Presentations (W/O Doctor),Seminars / Symposium / Video Shows - S&D,20000.0,FY19-20
2020,1,2020-01-16,TITANS,Klevra,Camps (With Doctor),Social / Cultural / Educational Program  - S&D,20000.0,FY19-20
2020,1,2020-01-17,Unknown,Tansin Family,Doctors Printing,Prescription Pads - S&D,35000.0,FY19-20
2020,1,2020-01-17,Unknown,Zoltar,"Furniture,  Fixtures & Fittings",Renovation Wards - S&D,20000.0,FY19-20
2020,1,2020-01-17,Unknown,Zoltar,Presentations (W/O Doctor),Seminars / Symposium / Video Shows - S&D,81000.0,FY19-20
2020,1,2020-01-19,Unknown,Corporate Account Ad Pro,A&P CAREER COUNSELING DEPARTMENT,A&P Career Counseling Department,20000.0,FY19-20
2020,1,2020-01-20,Unknown,Evofix Cap,Presentations (W/O Doctor),Seminars / Symposium / Video Shows - S&D,15000.0,FY19-20
2020,1,2020-01-20,CHALLENGERS,ANPLAG,RTD (W/O Doctor),Social / Cultural / Educational Program  - S&D,30000.0,FY19-20
2020,1,2020-01-20,LEGENDS,BYVAS,Presentations (W/O Doctor),Seminars / Symposium / Video Shows - S&D,13000.0,FY19-20
2020,1,2020-01-21,Unknown,ERLI,Equipments (With Doctor),Equipments - S&D,75000.0,FY19-20
2020,1,2020-01-21,Unknown,INOSITA PLUS XR,Social / Cultural (With Doctor),Social / Cultural / Educational Program  - S&D,15000.0,FY19-20
2020,1,2020-01-21,Unknown,REKLAIM,"Furniture,  Fixtures & Fittings",Renovation Wards - S&D,76600.0,FY19-20
2020,1,2020-01-21,Unknown,Xilica,Equipments (With Doctor),Equipments - S&D,12000.0,FY19-20
2020,1,2020-01-21,LEGENDS,Lowplat Plus,Social / Cultural (W/O Doctor),Social / Cultural / Educational Program  - S&D,46000.0,FY19-20
2020,1,2020-01-22,Unknown,Lowplat Plus,Salary For Contractual,Social / Cultural / Educational Program  - S&D,45000.0,FY19-20
2020,1,2020-01-22,Unknown,Telsarta-A,Equipment Medical & Other (With Doctor),Equipments - S&D,25000.0,FY19-20
2020,1,2020-01-22,BRAVO,Xcept,Presentations (W/O Doctor),Seminars / Symposium / Video Shows - S&D,15000.0,FY19-20
2020,1,2020-01-23,Unknown,Lowplat Plus,Equipment Medical & Other (With Doctor),Equipments - S&D,20000.0,FY19-20
2020,1,2020-01-23,TITANS,Klevra,Presentations (W/O Doctor),Seminars / Symposium / Video Shows - S&D,40000.0,FY19-20
2020,1,2020-01-24,Unknown,ERLI,Equipments (With Doctor),Equipments - S&D,100000.0,FY19-20
2020,1,2020-01-24,Unknown,OMRON (CLAIMABLE),Social / Cultural (W/O Doctor),Social / Cultural / Educational Program  - S&D,96200.0,FY19-20
2020,1,2020-01-24,LEGENDS,BYVAS,RTD (With Doctor),Social / Cultural / Educational Program  - S&D,5000.0,FY19-20
2020,1,2020-01-24,X-TREME,Xplended,Social / Cultural (W/O Doctor),Social / Cultural / Educational Program  - S&D,80014.0,FY19-20
2020,1,2020-01-27,Unknown,BYVAS,Salary For Contractual,Social / Cultural / Educational Program  - S&D,36000.0,FY19-20
2020,1,2020-01-27,Unknown,Xplended,Renovation Ward (With Doctor),Renovation Wards - S&D,32310.0,FY19-20
2020,1,2020-01-27,INSTITUTIONAL,Actiflor,Others,Others - S&D,40000.0,FY19-20
2020,1,2020-01-27,X-TREME,Xplended,Social / Cultural (W/O Doctor),Social / Cultural / Educational Program  - S&D,60000.0,FY19-20
2020,1,2020-01-28,Unknown,INOSITA PLUS XR,Equipments (With Doctor),Equipments - S&D,33000.0,FY19-20
2020,1,2020-01-28,Unknown,K1000,Renovation Ward (With Doctor),Renovation Wards - S&D,60000.0,FY19-20
2020,1,2020-01-28,Unknown,Kalsob,Doctors Printing,Prescription Pads - S&D,49380.0,FY19-20
2020,1,2020-01-28,MAVERICKS,AGOVIZ,Book (W/O Doctor),Books / Journals / Magazines - S&D,20000.0,FY19-20
2020,1,2020-01-28,TITANS,Estar,Social / Cultural (W/O Doctor),Social / Cultural / Educational Program  - S&D,20000.0,FY19-20
2020,1,2020-01-28,TITANS,PARIDOPA,Presentations (W/O Doctor),Seminars / Symposium / Video Shows - S&D,35000.0,FY19-20
2020,1,2020-01-28,TITANS,PARIDOPA,Social / Cultural (W/O Doctor),Social / Cultural / Educational Program  - S&D,15000.0,FY19-20
2020,1,2020-01-29,Unknown,ANPLAG,Equipment Medical & Other (With Doctor),Equipments - S&D,99000.0,FY19-20
2020,1,2020-01-29,Unknown,Estar,Course Fee For Doctors,Social / Cultural / Educational Program  - S&D,25000.0,FY19-20
2020,1,2020-01-29,Unknown,Gouric,Presentations (W/O Doctor),Seminars / Symposium / Video Shows - S&D,24000.0,FY19-20
2020,1,2020-01-29,Unknown,PARIDOPA,Course Fee For Doctors,Social / Cultural / Educational Program  - S&D,25000.0,FY19-20
2020,1,2020-01-29,MAVERICKS,REKLAIM,Presentations (With Doctor),Seminars / Symposium / Video Shows - S&D,20000.0,FY19-20
2020,1,2020-01-30,Unknown,BYVAS,Equipments (With Doctor),Equipments - S&D,9900.0,FY19-20
2020,1,2020-01-30,Unknown,Gouric 80,Course Fee For Doctors,Social / Cultural / Educational Program  - S&D,100000.0,FY19-20
2020,1,2020-01-30,Unknown,INOSITA PLUS XR,Course Fee For Doctors,Social / Cultural / Educational Program  - S&D,108416.0,FY19-20
2020,1,2020-01-30,Unknown,Opt-D,Social / Cultural (With Doctor),Social / Cultural / Educational Program  - S&D,50000.0,FY19-20
2020,1,2020-01-30,Unknown,Telsarta-A,Equipments (With Doctor),Equipments - S&D,23100.0,FY19-20
2020,1,2020-01-30,TITANS,Klevra,Presentations (W/O Doctor),Seminars / Symposium / Video Shows - S&D,20000.0,FY19-20
2020,1,2020-01-30,TRANSFORMERS,LACTEUS NEW,Social / Cultural (W/O Doctor),Social / Cultural / Educational Program  - S&D,50000.0,FY19-20
2020,1,2020-01-31,Unknown,Ferfer,Equipments (With Doctor),Equipments - S&D,34025.0,FY19-20
2020,1,2020-01-31,Unknown,Telsarta,Salary For Contractual,Social / Cultural / Educational Program  - S&D,98000.0,FY19-20
2020,1,2020-01-01,Unknown,Avsar Plus,Equipment Medical & Other (With Doctor),Equipments - S&D,12500.0,FY19-20
2020,1,2020-01-01,Unknown,Estar,Salary For Contractual,Social / Cultural / Educational Program  - S&D,60000.0,FY19-20
2020,1,2020-01-01,Unknown,Xplended,Equipments (With Doctor),Equipments - S&D,60000.0,FY19-20
2020,1,2020-01-01,BRAVO,Avsar,Social / Cultural (W/O Doctor),Social / Cultural / Educational Program  - S&D,10390.0,FY19-20
2020,1,2020-01-01,LEGENDS,Lowplat Plus,Social / Cultural (W/O Doctor),Social / Cultural / Educational Program  - S&D,15000.0,FY19-20
2020,1,2020-01-01,MAVERICKS,REKLAIM,Presentations (With Doctor),Seminars / Symposium / Video Shows - S&D,16000.0,FY19-20
2020,1,2020-01-02,BRAVO,Xcept,Social / Cultural (W/O Doctor),Social / Cultural / Educational Program  - S&D,16000.0,FY19-20
2020,1,2020-01-02,BRAVO,Xplended 20,Social / Cultural (W/O Doctor),Social / Cultural / Educational Program  - S&D,55000.0,FY19-20
2020,1,2020-01-03,Unknown,Lowplat,Equipments (With Doctor),Equipments - S&D,200000.0,FY19-20
2020,1,2020-01-03,Unknown,Lowplat Plus,Course Fee For Doctors,Social / Cultural / Educational Program  - S&D,17500.0,FY19-20
2020,1,2020-01-03,TITANS,PARIDOPA,Conference (W/O Doctor),Seminars / Symposium / Video Shows - S&D,45000.0,FY19-20
2020,1,2020-01-06,TITANS,PARIDOPA,Social / Cultural (W/O Doctor),Social / Cultural / Educational Program  - S&D,20000.0,FY19-20
2020,1,2020-01-07,GLADIATORS,Nise,Social / Cultural (W/O Doctor),Social / Cultural / Educational Program  - S&D,56000.0,FY19-20
2020,1,2020-01-07,MAVERICKS,Telsarta,Book (W/O Doctor),Books / Journals / Magazines - S&D,40000.0,FY19-20
2020,1,2020-01-08,Unknown,Avsar,Course Fee For Doctors,Social / Cultural / Educational Program  - S&D,27116.0,FY19-20
2020,1,2020-01-08,BRAVO,Xplended 20,Social / Cultural (W/O Doctor),Social / Cultural / Educational Program  - S&D,50000.0,FY19-20
2020,1,2020-01-08,CHAMPIONS,Lowplat,Presentations (W/O Doctor),Seminars / Symposium / Video Shows - S&D,127000.0,FY19-20
2020,1,2020-01-08,GLADIATORS,OPT-D INJ,Social / Cultural (W/O Doctor),Social / Cultural / Educational Program  - S&D,40000.0,FY19-20
2020,1,2020-01-08,X-TREME,Avsar,Salary For Contractual,Social / Cultural / Educational Program  - S&D,8333.0,FY19-20
2020,1,2020-01-08,X-TREME,Lowplat,Salary For Contractual,Social / Cultural / Educational Program  - S&D,29833.0,FY19-20
2020,1,2020-01-09,Unknown,Evopride Plus,Renovation Ward (With Doctor),Renovation Wards - S&D,20000.0,FY19-20
2020,1,2020-01-09,Unknown,Ramipace,Renovation Ward (With Doctor),Renovation Wards - S&D,15000.0,FY19-20
2020,1,2020-01-10,Unknown,Avsar Plus,Equipment Medical & Other (With Doctor),Equipments - S&D,60000.0,FY19-20
2020,1,2020-01-10,BRAVO,Xcept,Presentations (W/O Doctor),Seminars / Symposium / Video Shows - S&D,10000.0,FY19-20
2020,1,2020-01-10,X-TREME,Xplended,Social / Cultural (W/O Doctor),Social / Cultural / Educational Program  - S&D,20000.0,FY19-20
2020,1,2020-01-13,Unknown,Lowplat,Course Fee For Doctors,Social / Cultural / Educational Program  - S&D,75000.0,FY19-20
2020,1,2020-01-13,BRAVO,Avsar,Seminar (W/O Doctor),Seminars / Symposium / Video Shows - S&D,10788.0,FY19-20
2020,1,2020-01-13,BRAVO,Xcept,Presentations (W/O Doctor),Seminars / Symposium / Video Shows - S&D,92000.0,FY19-20
2020,1,2020-01-13,LEGENDS,BYVAS,RTD (With Doctor),Social / Cultural / Educational Program  - S&D,16000.0,FY19-20
2020,1,2020-01-13,MAVERICKS,Telsarta-A,Social / Cultural (W/O Doctor),Social / Cultural / Educational Program  - S&D,10000.0,FY19-20
2020,1,2020-01-13,METABOLIZERS,Avsar,Social / Cultural (W/O Doctor),Social / Cultural / Educational Program  - S&D,360000.0,FY19-20
2020,1,2020-01-13,X-TREME,Xplended,Social / Cultural (W/O Doctor),Social / Cultural / Educational Program  - S&D,60000.0,FY19-20
2020,1,2020-01-14,Unknown,INOSITA PLUS XR,Social / Cultural (With Doctor),Social / Cultural / Educational Program  - S&D,30000.0,FY19-20
2020,1,2020-01-14,CHALLENGERS,ANPLAG,Seminar (W/O Doctor),Seminars / Symposium / Video Shows - S&D,35000.0,FY19-20
2020,1,2020-01-14,MAVERICKS,Evopride Plus,Presentations (W/O Doctor),Seminars / Symposium / Video Shows - S&D,15000.0,FY19-20
2020,1,2020-01-14,METABOLIZERS,Avsar,Presentations (W/O Doctor),Seminars / Symposium / Video Shows - S&D,20000.0,FY19-20
2020,1,2020-01-15,CHAMPIONS,ERLI,Social / Cultural (W/O Doctor),Social / Cultural / Educational Program  - S&D,10000.0,FY19-20
2020,1,2020-01-16,Unknown,Gouric 80,Renovation Ward (With Doctor),Renovation Wards - S&D,36240.0,FY19-20
2020,1,2020-01-17,Unknown,Gouric,Presentations (W/O Doctor),Seminars / Symposium / Video Shows - S&D,75000.0,FY19-20
2020,1,2020-01-17,Unknown,Tansin Family,Equipments (With Doctor),Equipments - S&D,50000.0,FY19-20
2020,1,2020-01-20,Unknown,Lowplat,Course Fee For Doctors,Social / Cultural / Educational Program  - S&D,181687.0,FY19-20
2020,1,2020-01-20,BRAVO,Xcept,Presentations (W/O Doctor),Seminars / Symposium / Video Shows - S&D,16000.0,FY19-20
2020,1,2020-01-20,CHALLENGERS,ANPLAG,Seminar (W/O Doctor),Seminars / Symposium / Video Shows - S&D,18490.0,FY19-20
2020,1,2020-01-20,MAVERICKS,REKLAIM,Presentations (With Doctor),Seminars / Symposium / Video Shows - S&D,20000.0,FY19-20
2020,1,2020-01-20,TITANS,PARIDOPA,RTD (With Doctor),Social / Cultural / Educational Program  - S&D,15000.0,FY19-20
2020,1,2020-01-21,Unknown,Inosita Plus 50/850,Equipments (With Doctor),Equipments - S&D,48000.0,FY19-20
2020,1,2020-01-21,Unknown,INOSITA PLUS XR,Equipment Medical & Other (With Doctor),Equipments - S&D,19500.0,FY19-20
2020,1,2020-01-21,GLADIATORS,Ferfer,Camps (W/O Doctor),Social / Cultural / Educational Program  - S&D,7610.0,FY19-20
2020,1,2020-01-21,LEGENDS,BYVAS,Presentations (W/O Doctor),Seminars / Symposium / Video Shows - S&D,25880.0,FY19-20
2020,1,2020-01-22,Unknown,Avsar,Doctors Printing,Prescription Pads - S&D,50000.0,FY19-20
2020,1,2020-01-22,Unknown,ERLI,Course Fee For Doctors,Social / Cultural / Educational Program  - S&D,41295.0,FY19-20
2020,1,2020-01-22,Unknown,Telsarta,Salary For Contractual,Social / Cultural / Educational Program  - S&D,45000.0,FY19-20
2020,1,2020-01-22,METABOLIZERS,Avsar,Social / Cultural (W/O Doctor),Social / Cultural / Educational Program  - S&D,38000.0,FY19-20
2020,1,2020-01-23,Unknown,Lowplat Plus,Salary For Contractual,Social / Cultural / Educational Program  - S&D,36000.0,FY19-20
2020,1,2020-01-23,BRAVO,Xcept,Presentations (W/O Doctor),Seminars / Symposium / Video Shows - S&D,60000.0,FY19-20
2020,1,2020-01-23,EVOCHECK (TEAM),Evocheck BGM,Social / Cultural (W/O Doctor),Social / Cultural / Educational Program  - S&D,80000.0,FY19-20
2020,1,2020-01-23,MAVERICKS,Telsarta-A,Social / Cultural (W/O Doctor),Social / Cultural / Educational Program  - S&D,20000.0,FY19-20
2020,1,2020-01-23,TITANS,Klevra,Camps (With Doctor),Social / Cultural / Educational Program  - S&D,12000.0,FY19-20
2020,1,2020-01-23,X-TREME,Xplended,Social / Cultural (W/O Doctor),Social / Cultural / Educational Program  - S&D,60000.0,FY19-20
2020,1,2020-01-24,Unknown,ERLI,Screening (With Doctor),Screening - S&D,50000.0,FY19-20
2020,1,2020-01-24,Unknown,Evopride Plus,Equipment Medical & Other (With Doctor),Equipments - S&D,7800.0,FY19-20
2020,1,2020-01-24,Unknown,Lowplat,Equipment Medical & Other (With Doctor),Equipments - S&D,36000.0,FY19-20
2020,1,2020-01-24,Unknown,Tansin Family,Equipment Medical & Other (With Doctor),Equipments - S&D,14400.0,FY19-20
2020,1,2020-01-27,BRAVO,Xplended 20,Social / Cultural (W/O Doctor),Social / Cultural / Educational Program  - S&D,5000.0,FY19-20
2020,1,2020-01-27,MAVERICKS,REKLAIM,Presentations (With Doctor),Seminars / Symposium / Video Shows - S&D,50000.0,FY19-20
2020,1,2020-01-27,METABOLIZERS,ERLI,Social / Cultural (W/O Doctor),Social / Cultural / Educational Program  - S&D,100000.0,FY19-20
2020,1,2020-01-29,Unknown,Estar,"Furniture,  Fixtures & Fittings",Renovation Wards - S&D,50000.0,FY19-20
2020,1,2020-01-29,Unknown,PARIDOPA,"Furniture,  Fixtures & Fittings",Renovation Wards - S&D,37500.0,FY19-20
2020,1,2020-01-29,Unknown,Xplended,Renovation Ward (With Doctor),Renovation Wards - S&D,56000.0,FY19-20
2020,1,2020-01-29,Unknown,Zoltar 40,RTD (W/O Doctor),Social / Cultural / Educational Program  - S&D,44000.0,FY19-20
2020,1,2020-01-29,BRAVO,Lowplat,Social / Cultural (W/O Doctor),Social / Cultural / Educational Program  - S&D,21000.0,FY19-20
2020,1,2020-01-29,BRAVO,SACVIN,Social / Cultural (W/O Doctor),Social / Cultural / Educational Program  - S&D,50000.0,FY19-20
2020,1,2020-01-29,BRAVO,Xcept,Presentations (W/O Doctor),Seminars / Symposium / Video Shows - S&D,20000.0,FY19-20
2020,1,2020-01-29,CHALLENGERS,Avsar Plus,RTD (W/O Doctor),Social / Cultural / Educational Program  - S&D,25000.0,FY19-20
2020,1,2020-01-29,DIGITAL MARKETING,Corporate Account Ad Pro,A&P JAHAN E MASEEHA,A&P Jahan E Maseeha,4000.0,FY19-20
2020,1,2020-01-30,Unknown,Evopride Plus,Doctors Printing,Prescription Pads - S&D,39000.0,FY19-20
2020,1,2020-01-30,Unknown,INOSITA PLUS XR,Social / Cultural (With Doctor),Social / Cultural / Educational Program  - S&D,20000.0,FY19-20
2020,1,2020-01-30,GLADIATORS,Nise,Social / Cultural (W/O Doctor),Social / Cultural / Educational Program  - S&D,37000.0,FY19-20
2020,1,2020-01-30,TITANS,PARIDOPA,Camps (W/O Doctor),Social / Cultural / Educational Program  - S&D,10000.0,FY19-20
2020,1,2020-01-01,Unknown,Avsar Plus,Social / Cultural (With Doctor),Social / Cultural / Educational Program  - S&D,6600.0,FY19-20
2020,1,2020-01-01,Unknown,Lowplat,Course Fee For Doctors,Social / Cultural / Educational Program  - S&D,75000.0,FY19-20
2020,1,2020-01-01,Unknown,Xplended,Social / Cultural (With Doctor),Social / Cultural / Educational Program  - S&D,15400.0,FY19-20
2020,1,2020-01-01,DIGITAL MARKETING,Corporate Account Ad Pro,A&P HRAB & Digital Marketing,A&P HRAB & Digital Marketing,7515.0,FY19-20
2020,1,2020-01-01,DIGITAL MARKETING,Corporate Account Ad Pro,A&P PharmAssist,Other,2000.0,FY19-20
2020,1,2020-01-01,MAVERICKS,Telsarta-A,Social / Cultural (W/O Doctor),Social / Cultural / Educational Program  - S&D,260000.0,FY19-20
2020,1,2020-01-03,Unknown,Lowplat Plus,Equipments (With Doctor),Equipments - S&D,100000.0,FY19-20
2020,1,2020-01-03,Unknown,REKLAIM,Course Fee For Doctors,Social / Cultural / Educational Program  - S&D,97350.0,FY19-20
2020,1,2020-01-03,X-TREME,Xplended,Social / Cultural (W/O Doctor),Social / Cultural / Educational Program  - S&D,98000.0,FY19-20
2020,1,2020-01-06,BONE SAVIORS,OPT-D INJ,Social / Cultural (W/O Doctor),Social / Cultural / Educational Program  - S&D,30000.0,FY19-20
2020,1,2020-01-07,Unknown,REKLAIM,Equipments (With Doctor),Equipments - S&D,32100.0,FY19-20
2020,1,2020-01-07,BRAVO,Xplended 20,Social / Cultural (W/O Doctor),Social / Cultural / Educational Program  - S&D,5000.0,FY19-20
2020,1,2020-01-07,TITANS,Ramipace,Social / Cultural (W/O Doctor),Social / Cultural / Educational Program  - S&D,60000.0,FY19-20
2020,1,2020-01-08,BRAVO,Xcept,Presentations (W/O Doctor),Seminars / Symposium / Video Shows - S&D,12000.0,FY19-20
2020,1,2020-01-08,CHAMPIONS,Xcept,Workshops (W/O Doctor),Seminars / Symposium / Video Shows - S&D,40000.0,FY19-20
2020,1,2020-01-08,GLADIATORS,Gouric,Salary For Contractual,Social / Cultural / Educational Program  - S&D,7500.0,FY19-20
2020,1,2020-01-08,MAVERICKS,REKLAIM,Presentations (With Doctor),Seminars / Symposium / Video Shows - S&D,43000.0,FY19-20
2020,1,2020-01-08,METABOLIZERS,Inosita,Salary For Contractual,Social / Cultural / Educational Program  - S&D,25000.0,FY19-20
2020,1,2020-01-08,X-TREME,Arbi,Salary For Contractual,Social / Cultural / Educational Program  - S&D,25000.0,FY19-20
2020,1,2020-01-08,X-TREME,Xplended,Salary For Contractual,Social / Cultural / Educational Program  - S&D,62167.0,FY19-20
2020,1,2020-01-09,Unknown,Avsar,Equipment Medical & Other (With Doctor),Equipments - S&D,12000.0,FY19-20
2020,1,2020-01-09,Unknown,Lowplat Plus,Social / Cultural (With Doctor),Social / Cultural / Educational Program  - S&D,28700.0,FY19-20
2020,1,2020-01-10,Unknown,Xplended,Equipment Medical & Other (With Doctor),Equipments - S&D,90000.0,FY19-20
2020,1,2020-01-10,GLADIATORS,Gouric,Social / Cultural (W/O Doctor),Social / Cultural / Educational Program  - S&D,60000.0,FY19-20
2020,1,2020-01-10,GLADIATORS,Nise,Social / Cultural (W/O Doctor),Social / Cultural / Educational Program  - S&D,60000.0,FY19-20
2020,1,2020-01-13,CHALLENGERS,Xplended,Seminar (W/O Doctor),Seminars / Symposium / Video Shows - S&D,40000.0,FY19-20
2020,1,2020-01-13,MAVERICKS,REKLAIM,Presentations (W/O Doctor),Seminars / Symposium / Video Shows - S&D,50000.0,FY19-20
2020,1,2020-01-13,MAVERICKS,REKLAIM,Social / Cultural (With Doctor),Social / Cultural / Educational Program  - S&D,25000.0,FY19-20
2020,1,2020-01-15,Unknown,Avsar,Equipments (With Doctor),Equipments - S&D,45000.0,FY19-20
2020,1,2020-01-15,Unknown,Avsar,Salary For Contractual,Social / Cultural / Educational Program  - S&D,100000.0,FY19-20
2020,1,2020-01-15,Unknown,Tansin Family,Renovation Ward (With Doctor),Renovation Wards - S&D,105840.0,FY19-20
2020,1,2020-01-16,INTERNATIONAL MARKETS,K1000,Presentations (W/O Doctor),Seminars / Symposium / Video Shows - S&D,20000.0,FY19-20
2020,1,2020-01-16,X-TREME,Xplended,Social / Cultural (W/O Doctor),Social / Cultural / Educational Program  - S&D,59161.0,FY19-20
