Yr,Mo,ProductName,Revenue,Units,Discount,FiscalYear
2022,7,REKLAIM,642545.7182999998,1287.0,2601.6416999999997,FY22-23
2022,7,Ramipace,24732008.903799977,61187.0,119215.0262,FY22-23
2022,7,Redexa,3090624.318500001,6421.0,26853.5315,FY22-23
2022,7,Retzole,1621659.75,1277.0,6515.25,FY22-23
2022,7,Revolic,802069.9483000003,2311.0,3821.9717,FY22-23
2022,7,SPEDICAM,500883.27840000007,3950.0,1082.7216,FY22-23
2022,7,Sacvin,16227247.835999964,14531.0,88406.65400000001,FY22-23
2022,7,SheVit,2679262.0034999982,8699.0,6641.2365,FY22-23
2022,7,Supercran,1390993.2323,4802.0,4467.9677,FY22-23
2022,7,Tansin,3939627.5739000146,23902.0,19836.4361,FY22-23
2022,7,Telsarta,5150687.534800004,26299.0,23630.5752,FY22-23
2022,7,Telsarta-A,12949908.590999985,42938.0,51575.809,FY22-23
2022,7,Telsarta-D,4743517.785999993,13047.0,19433.414,FY22-23
2022,7,Thewril,1867056.445,6288.0,3623.5550000000003,FY22-23
2022,7,Treatan,7616527.1676000105,32683.0,36124.8324,FY22-23
2022,7,Treatan-D,1515320.2959999996,2207.0,7951.103999999999,FY22-23
2022,7,UFI,1103317.255,2674.0,1699.7450000000001,FY22-23
2022,7,UriTreat,798802.8,1181.0,4277.2,FY22-23
2022,7,Voxamine,4302302.455,14702.0,75571.545,FY22-23
2022,7,X-Plended,85856280.27789977,318569.0,679465.1421,FY22-23
2022,7,Xcept,25034093.362499963,63017.0,208276.7375,FY22-23
2022,7,Xilica,6973784.983799985,26365.0,38195.9062,FY22-23
2022,7,Zibes,1651400.3221000007,17146.0,6550.0079,FY22-23
2022,7,Zilero,745595.01,1339.0,5405.49,FY22-23
2022,7,Zoltar,7106807.323,45136.0,3394273.137,FY22-23
2022,8,AXIFER,1089589.5,1287.0,277848.0,FY22-23
2022,8,Actiflor,7334429.966399977,20405.0,39120.833600000005,FY22-23
2022,8,Actnise,2049280.3322,8167.0,33304.667799999996,FY22-23
2022,8,Ad Folic,8016329.983100012,31682.0,39768.9769,FY22-23
2022,8,Ad Folic OD,5997753.84680002,15073.0,46971.3432,FY22-23
2022,8,Ad-D Chewable,18525.94,80.0,0.0,FY22-23
2022,8,Agoviz,1990180.3900000001,3743.0,14196.11,FY22-23
2022,8,Aireez,575331.238,1218.0,4159.662,FY22-23
2022,8,Anex-M,436620.86,1981.0,1180.1399999999999,FY22-23
2022,8,Anplag,8295195.80150001,8542.0,157683.3585,FY22-23
2022,8,Arbi,3824411.7267000074,13862.0,20098.5733,FY22-23
2022,8,Arbi-D,7007455.09500001,22521.0,32807.024999999994,FY22-23
2022,8,Avsar,62565042.519000895,195509.0,265008.091,FY22-23
2022,8,Avsar Plus,20807971.005999986,67847.0,61538.034,FY22-23
2022,8,Azliv,1328475.4125,8131.0,3070.8375,FY22-23
2022,8,BD PEN NEEDLE,1304350.6879,145572.0,97452.1321,FY22-23
2022,8,BD SYRINGE - BAG,42094091.87559995,2068522.0,1191995.2244000002,FY22-23
2022,8,Byvas,7973845.216500014,47315.0,31349.863500000003,FY22-23
2022,8,Dapwiz,2751809.38,14250.0,19020.62,FY22-23
2022,8,Dipof,1032013.0513000004,5284.0,6479.9987,FY22-23
2022,8,Diu Tansin,1604881.3035999974,9578.0,6904.5364,FY22-23
2022,8,Duzalta,8305547.690999998,23129.0,80312.609,FY22-23
2022,8,ESMART,210.36,1.0,0.0,FY22-23
2022,8,EVOTIZER,653.8499999999999,3.0,0.0,FY22-23
2022,8,Eglaro,763530.1799999996,2217.0,2591.82,FY22-23
2022,8,Eglaro-S,1153694.5875,2327.0,3406.1625,FY22-23
2022,8,Erli,6707021.56,21461.0,35985.94,FY22-23
2022,8,Erli Plus XR,7754166.772499992,22521.0,58774.8275,FY22-23
2022,8,Estar,24056028.309600007,94227.0,232266.8504,FY22-23
2022,8,Evo Joshanda,894876.2942999993,3732.0,56783.70569999998,FY22-23
2022,8,EvoCheck,18607570.3984,10200.0,3514561.7016000003,FY22-23
2022,8,EvoCheck Go,7677593.2,6900.0,166566.8,FY22-23
2022,8,Evocheck M BGM,39440.0,29.0,0.0,FY22-23
2022,8,Evofix,2323059.5366,9293.0,161065.4634,FY22-23
2022,8,Evokalm,4074954.1025,21967.0,62119.14750000001,FY22-23
2022,8,Evokalm XR,1032208.312,2621.0,12460.388,FY22-23
2022,8,Evopravir,20368.125,11.0,669.375,FY22-23
2022,8,Evopride,10417548.757,30203.0,37043.243,FY22-23
2022,8,Evopride Plus,16456473.29469999,64521.0,52185.0553,FY22-23
2022,8,Fasteso,1796822.5191999995,8536.0,18050.890799999997,FY22-23
2022,8,Femova,5658081.9305000035,8241.0,29609.0395,FY22-23
2022,8,Ferfer,7758728.772900019,17035.0,38020.3771,FY22-23
2022,8,Ferfer Gro,2641044.835400003,7607.0,11668.204600000001,FY22-23
2022,8,Galvecta,790371.0270999998,3188.0,4269.8529,FY22-23
2022,8,Galvecta Plus,7732225.479299981,21769.0,33558.4807,FY22-23
2022,8,Gouric,49395329.532500006,114210.0,378949.2175,FY22-23
2022,8,HIFAZAT,30517.309999999998,308.0,4166.57,FY22-23
2022,8,IBANDRO,1621766.22,3673.0,17310.03,FY22-23
2022,8,Inosita,8684808.478999998,12468.0,82370.83099999999,FY22-23
2022,8,Inosita Plus,77672554.8968003,133007.0,792671.9631999999,FY22-23
2022,8,Ivadin,1550448.62,6551.0,8689.380000000001,FY22-23
2022,8,K-1000,6589007.817699991,15183.0,29261.8823,FY22-23
2022,8,Kalsob,11059995.159600008,24713.0,71234.3004,FY22-23
2022,8,Klevra,4972938.787699999,6803.0,47378.8223,FY22-23
2022,8,Klevra XR,264310.56,582.0,2827.44,FY22-23
2022,8,LACTEUS 1,1566641.79,1341.0,33506.46,FY22-23
2022,8,LACTEUS 2,1605434.3499999999,1433.0,104492.9,FY22-23
2022,8,LACTEUS 3,2386.5,2.0,0.0,FY22-23
2022,8,LACTEUS AR,454166.2125,350.0,8796.2875,FY22-23
2022,8,LACTEUS GROW 3,663647.466,630.0,88100.034,FY22-23
2022,8,LACTEUS LF,66200.4,58.0,11055.6,FY22-23
2022,8,LIMITROL,637.5,5.0,0.0,FY22-23
2022,8,Lowplat,46843105.96630057,284396.0,378005.8737,FY22-23
2022,8,Lowplat Plus,62365988.58350015,353360.0,461304.4765,FY22-23
2022,8,MFIT,146755.3301,121.0,927.5899,FY22-23
2022,8,MYOPRO,1349.0,6.0,0.0,FY22-23
2022,8,NEBULIZERS,164609.1604,31.0,54775.359599999996,FY22-23
2022,8,Neo Q 10,1729575.7078000002,1990.0,9075.8922,FY22-23
2022,8,Nise,32068383.79,252279.0,97188.70999999999,FY22-23
2022,8,Omron BPM,8864993.4509,1366.0,1241835.8491,FY22-23
2022,8,Omron BPM Wrist,220452.3147,40.0,37462.0853,FY22-23
2022,8,Omron ETB,271503.284,256.0,40444.876,FY22-23
2022,8,Omron Weigh Scale,310466.6929,45.0,27849.6771,FY22-23
2022,8,Onita,6818510.7828,8906.0,70280.2172,FY22-23
2022,8,Opt-D,14382847.074500035,92115.0,185616.17549999998,FY22-23
2022,8,Orslim,27037798.5375,17822.0,229861.4625,FY22-23
2022,8,Oxivort,1087065.0,3337.0,6902.0,FY22-23
