Material Name,2024.0,2025.0,Growth,Status
ARBI-D TAB. 150MG/12.5MG CP (GTM) 3X10'S,0.0,2331.79,233179.0,🚀 Growing
ARBI-D TAB. 300/12.5MG CP (GTM) 1X2'S,0.0,0.0,0.0,✅ Stable
ARBI-D TAB. 300/12.5MG CP (GTM) 30'S,0.0,0.0,0.0,✅ Stable
ARBI-D TAB. 300/12.5MG CP (IQ) 30'S,0.0,0.0,0.0,✅ Stable
ARBI-D TAB. 300/12.5MG CP 1X10'S,35330909.98,39224711.42,11.02094863167746,✅ Stable
ARBI-D TAB. 300/25MG CP (IQ) 28'S,0.0,0.0,0.0,✅ Stable
ARBI-D TAB. 300/25MG CP 2X7'S,7775723.67,7967297.22,2.463739172459556,✅ Stable
AVSAR PLUS 160/10/12.5MG CP (BDI) 4X7'S,0.0,0.0,0.0,✅ Stable
AVSAR PLUS 160/5/12.5MG CP (BDI) 4X7'S,0.0,0.0,0.0,✅ Stable
AVSAR PLUS TAB 160/10/12.5MG CP (GHN) 28,0.0,0.0,0.0,✅ Stable
AVSAR PLUS TAB 160/5/12.5MG CP (GHN) 28S,1631.85,0.0,-100.0,🔴 Critical
AVSAR PLUS TAB. 160/10/12.5MG CP (AFG),109031.88,0.0,-100.0,🔴 Critical
AVSAR PLUS TAB. 160/10/12.5MG CP (KEN),0.0,22.11,2211.0,🚀 Growing
AVSAR PLUS TAB. 160/10/12.5MG CP 4X7'S,122271295.96000001,173135730.74,41.599652952594745,🚀 Growing
AVSAR PLUS TAB. 160/10/12.5MG CP(ZM)28'S,0.0,0.0,0.0,✅ Stable
AVSAR PLUS TAB. 160/10/25MG CP (AFG),124070.76000000001,87891.2,-29.160424261123257,⚠️ Declining
AVSAR PLUS TAB. 160/10/25MG CP (GHN)28'S,0.0,0.0,0.0,✅ Stable
AVSAR PLUS TAB. 160/10/25MG CP 4X7'S,37893415.29,49145487.89,29.694004918499395,🚀 Growing
AVSAR PLUS TAB. 160/5/12.5MG CP (AFG),88920.48,0.0,-100.0,🔴 Critical
AVSAR PLUS TAB. 160/5/12.5MG CP (KEN),0.0,0.0,0.0,✅ Stable
AVSAR PLUS TAB. 160/5/12.5MG CP 4X7'S,110987294.24,171494610.71,54.5173363170368,🚀 Growing
AVSAR PLUS TAB. 160/5/25MG CP (GHN) 28'S,1666.34,0.0,-100.0,🔴 Critical
AVSAR PLUS TAB. 160/5/25MG CP 4X7'S,14393680.38,18394911.12,27.79852431320974,🚀 Growing
AVSAR PLUS TAB. 320/10/25MG CP (GTM) 2'S,0.0,0.0,0.0,✅ Stable
AVSAR PLUS TAB. 320/10/25MG CP (GTM) 28S,0.0,0.0,0.0,✅ Stable
AVSAR PLUS TAB. 320/10/25MG CP 4X7'S,16377955.55,22002746.01,34.34366666112976,🚀 Growing
AVSAR TAB. 160/10MG (SWL) CP 4X7'S,9024.99,0.0,-100.0,🔴 Critical
AVSAR TAB. 160/10MG CP (AFG),0.0,232.56,23256.0,🚀 Growing
AVSAR TAB. 160/10MG CP (GHN) 28'S,0.0,0.0,0.0,✅ Stable
AVSAR TAB. 160/10MG CP (KEN),0.0,0.0,0.0,✅ Stable
AVSAR TAB. 160/10MG CP (MDV) 14’S,0.0,570.0,57000.0,🚀 Growing
AVSAR TAB. 160/10MG CP (NIG) 28'S,0.0,0.0,0.0,✅ Stable
AVSAR TAB. 160/10MG CP (PHL),0.0,0.0,0.0,✅ Stable
AVSAR TAB. 160/10MG CP 2X7'S,181844325.28,253959386.0,39.65758107048915,🚀 Growing
AVSAR TAB. 160/5MG CP (AFG) 2X7'S,0.0,0.0,0.0,✅ Stable
AVSAR TAB. 160/5MG CP (CMB),0.0,0.0,0.0,✅ Stable
AVSAR TAB. 160/5MG CP (GHN) 28'S,0.0,0.0,0.0,✅ Stable
AVSAR TAB. 160/5MG CP (KEN),0.0,0.0,0.0,✅ Stable
AVSAR TAB. 160/5MG CP (SLK) 4X7'S,0.0,0.0,0.0,✅ Stable
AVSAR TAB. 160/5MG CP (SWL) 28'S,0.0,0.0,0.0,✅ Stable
AVSAR TAB. 160/5MG CP 2X7'S,141278657.09,214061367.64000002,51.51713078900134,🚀 Growing
AVSAR TAB. 160/5MG PS (SLK) 4'S,0.0,0.0,0.0,✅ Stable
AVSAR TAB. 80/5MG CP (AFG) 2X7'S,0.0,0.0,0.0,✅ Stable
AVSAR TAB. 80/5MG CP (CMB),0.0,0.0,0.0,✅ Stable
AVSAR TAB. 80/5MG CP (PHL),0.0,0.0,0.0,✅ Stable
AVSAR TAB. 80/5MG CP (SLK) 4X7'S,0.0,5628.26,562826.0,🚀 Growing
AVSAR TAB. 80/5MG CP (SWL) 4X7'S,7371.0,0.0,-100.0,🔴 Critical
AVSAR TAB. 80/5MG CP 2X7'S,141844299.14,148144554.84,4.441670012963779,✅ Stable
AVSAR TAB. 80/5MG INST. CP 7X152'S,0.0,0.0,0.0,✅ Stable
AVSAR TAB. 80/5MG PS (SLK) 4'S,0.0,0.0,0.0,✅ Stable
AXIFER INJ. 100MG/5ML CP 1X5'S,2223020.19,0.0,-100.0,🔴 Critical
AZOBACT SUSP. 200MG 15ML CP (AFG),0.0,0.0,0.0,✅ Stable
AZOBACT TAB. 250MG CP (AFG) 2X6'S,16969.12,0.0,-100.0,🔴 Critical
AZOBACT TAB. 500MG CP (AFG) 1X6'S,24971.85,31247.02,25.128975226104604,🚀 Growing
BANDRIO TAB. 150MG CP (GTM) 1X1'S,0.0,1678.5,167850.0,🚀 Growing
BEMPION EZ TAB. 180/10MG CP 1X10'S,0.0,4021544.25,402154425.0,🚀 Growing
BEMPION TAB. 180MG CP 1X10'S,0.0,3659083.3,365908330.0,🚀 Growing
BESTRIX INJ. 1000MG IV CP,0.0,0.0,0.0,✅ Stable
BESTRIX INJ. 1000MG IV PS,0.0,0.0,0.0,✅ Stable
BESTRIX INJ. 250MG IM CP,0.0,0.0,0.0,✅ Stable
BESTRIX INJ. 250MG IM PS,0.0,0.0,0.0,✅ Stable
BESTRIX INJ. 250MG IV CP,0.0,0.0,0.0,✅ Stable
BESTRIX INJ. 500MG IM CP,0.0,0.0,0.0,✅ Stable
BESTRIX INJ. 500MG IV CP,0.0,0.0,0.0,✅ Stable
BEVEC 100MG/4ML 1X1'S,0.0,0.0,0.0,✅ Stable
BEVEC 400MG/16ML 1X1'S,0.0,0.0,0.0,✅ Stable
BONGARD TAB. 70MG CP (KEN),1092.0,0.0,-100.0,🔴 Critical
BONGARD TAB. 70MG CP (MDV),455.0,0.0,-100.0,🔴 Critical
BONGARD TAB. 70MG CP (MMR),1267.8,0.0,-100.0,🔴 Critical
BONGARD TAB. 70MG CP (SLK),0.0,0.0,0.0,✅ Stable
BONGARD TAB. 70MG PS (SLK),0.0,0.0,0.0,✅ Stable
BUSONIDE CAP. 200/6 MCG CP (AFG) 3X10'S,0.0,0.0,0.0,✅ Stable
BUSONIDE CAP. 200/6 MCG CP 3X10'S,14613276.28,16828769.31,15.160823538470728,✅ Stable
BUSONIDE CAP. 400/12 MCG CP (AFG) 30'S,0.0,0.0,0.0,✅ Stable
BUSONIDE CAP. 400/12 MCG CP 3X10'S,77814691.68,109771276.35000001,41.06754647492038,🚀 Growing
BYVAS TAB 5MG CP (GTM) 1X2'S,0.0,0.0,0.0,✅ Stable
BYVAS TAB 5MG CP (GTM) 4X7'S,2677.2,0.0,-100.0,🔴 Critical
BYVAS TAB. 10MG CP 2X7'S,16078678.38,19841851.95,23.404744351879987,🚀 Growing
BYVAS TAB. 2.5MG CP (IQ) 4X7'S,0.0,0.0,0.0,✅ Stable
BYVAS TAB. 2.5MG CP 2X7'S,47917385.61,87899665.53,83.44002789596267,🚀 Growing
BYVAS TAB. 5MG CP (IQ) 4X7'S,0.0,0.0,0.0,✅ Stable
BYVAS TAB. 5MG CP 2X7'S,88432338.77,126628924.31,43.19300616864146,🚀 Growing
CEZOX CAP. 400MG CP,0.0,0.0,0.0,✅ Stable
CEZOX CAP. 400MG PS,0.0,0.0,0.0,✅ Stable
CEZOX DS SUSP. CP 30ML,0.0,0.0,0.0,✅ Stable
CEZOX DS SUSP. PS 15ML,0.0,0.0,0.0,✅ Stable
CEZOX SUSP. CP 30ML,0.0,0.0,0.0,✅ Stable
CEZOX SUSP. PS 15ML,0.0,0.0,0.0,✅ Stable
CIPROMAX TAB. 250MG CP (AFG),0.0,0.0,0.0,✅ Stable
CIPROMAX TAB. 500MG CP (AFG),0.0,0.0,0.0,✅ Stable
