City,Revenue,Qty,SDPs
Burhan Traders,16165955.0,448.0,1
S.K. Distributor-Islamabad Inst Dis,15964027.11,46528.0,1
A.K. Enterprises - Multan,15471508.530000001,2410.0,1
Ehc (Private) Limited,14544690.46,46299.0,1
Wapda Hospital Complex Lahore,14526818.0,203040.0,1
Zaidi Traders,12976325.0,451.0,1
Easa Business Group,12893575.74,17649.0,1
Tfmf Pharma Distributor,12734382.93,83920.0,1
Jade E Services Pakistan (Pvt) Ltd,12198742.51,6029.0,1
Jindani Traders,12166639.93,85193.0,1
Patient'S Care,11937036.91,10466.0,1
Wazirabad Institute Of Cardiology,11714280.0,3000.0,1
P.E.S.S.I Lahore,11589632.62,74970.0,1
Faisal Pharma,11528263.94,82947.28,1
Remedial Enterprises,11420247.47,38262.0,1
Biotech Technologies - Karachi,10570029.209999999,3449.0,1
Crown Pharmaceuticals (Pvt) Ltd,10509700.0,300.0,1
Noor Enterprises Lahore,10394095.0,276.0,1
Oncolink Pharma Distributors,9717090.0,285.0,1
Shorkot,9267097.46,24113.0,1
Al-Hamd Distributors,8795755.0,265.0,1
"Liaquat National Hospital, Karachi",8606222.6,6955.0,1
Chief Distributor'S - Islamabad,8595225.0,270.0,1
Sami Pharmaceutical (Pvt) Ltd.,8387788.2,790.0,1
Inactive - Bio Max Farma - Lahore,8272738.05,2831.0,1
Alkhidmat Health Foundation,8220261.899999999,56850.0,1
Premier Agencies - Korangi,7995593.74,11326.0,1
Ahmed Bin Qasim,7888463.17,38986.0,1
Health Resources Distributors - Rwp,7620425.38,1822.0,1
Scitech Health (Pvt) Ltd.(Qne),7542357.13,14449.0,1
Najam Brothers - Quetta,7426991.87,2894.0,1
Ibs Pharma Distributors-Rawalpindi,7084400.0,240.0,1
N.S. Traders,6904016.48,4469.0,1
Martin Dow Limited,6808980.0,412639.0,1
Dns Enterprises,6778583.0,66861.0,1
Scilife Pharma (Pvt.) Ltd,6586656.0,394115.0,1
Pharma Solution,6545168.87,17538.0,1
Hafiz Medicine Company - Sargodha,6433537.75,2904.0,1
New Tameer Enterprises,6204900.41,25793.0,1
A Q Traders - Rawalpindi,5608492.76,1923.0,1
Uts Enterprises,5452810.65,52940.0,1
Orah Life (Pvt) Ltd.,5159241.81,8580.0,1
Khurram Traders - Sialkot,5151128.46,1760.0,1
Fauji Foundation Hosp. Rawalpindi,5082150.2,46278.0,1
Cic Holdings Plc,4932060.37,2383424.0,1
Shakargarh,4895436.8100000005,11808.0,1
Syed Abdullah Shah Institute Sehwan,4570820.0,4200.0,1
Criticare Pharmaceuticals,4484917.75,103423.0,1
Bahria Pharmacy,4250975.53,9481.497,1
Karachi Medical Company,3783309.8400000003,30261.7,1
Ibrahim & Sons - Chemist & Druggist,3587675.0,90.0,1
Nabi Qasim Industries (Pvt) Ltd,3468950.0,2339.0,1
Aglow Healthcare (Pvt.) Ltd.,3133486.93,19936.0,1
Executive Director P.I.M.H. Lahore,2992770.14,117143.0,1
Ms Traders,2982345.34,71521.0,1
Ker Sociedad Anonima,2945447.66,2547127.0,1
Fauji Foundation Hosp. Lahore,2883253.91,32944.0,1
Faisalabad Inst.Of Cardiology,2671962.39054,7424.667,1
Three M Enterprises Lahore,2639700.0,97.0,1
Onco Pharma (Pvt.) Ltd.,2631164.0,94.0,1
Helix Pharma (Pvt.) Ltd.,2583513.25,2335.0,1
Al-Khair Pharma - Lahore,2577030.0,68.0,1
Peshawar Institute Of Cardiology,2428441.8,20235.0,1
Govt Gen Hosp (Fsd Teaching Hosp),2390303.37,23953.0,1
Shiza Hospital Suppliers,2193300.0,50.0,1
Ceo Dha Lahore,2171843.14,55324.0,1
Al Rabie Scientific Bureau,2126989.17,1835373.0,1
Criticare Pharmaceuticals (Pvt) Ltd,2064690.75,22287.0,1
Ceo Dha Sheikhupura,1794922.8800000001,37774.0,1
Ceo Dha Lodhran,1683982.81,43940.0,1
Ceo Dha Kasur,1545825.35,50767.0,1
"Allied Hospital, Faisalabad",1505398.4,18457.0,1
Ceo Dha Jhelum,1502618.1099999999,39266.0,1
Prime Pharma Company,1497900.7,794217.0,1
Fatmiyah Hosp. C/O Remedial Enterpr,1473927.78,3134.0,1
Ceo Dha Toba Tek Singh,1463782.12,37734.0,1
Hassaan Distribution,1380518.6,15202.0,1
Services Gen. Hosp. Lahore,1354178.96,6191.0,1
Ceo Dha Bhakkar,1333274.95,33587.0,1
Ceo Dha Faisalabad,1183949.2,66517.0,1
Ceo Dha Rajanpur,1158963.8,21790.0,1
Punjab Health Facilities Management,1153053.72,33306.0,1
Q-Med Pharma Dist. - Rawalpindi,1096525.0,36.0,1
Azeem Enterprises,1083509.19,4138.0,1
Ceo Dha Multan,1083144.92,25666.0,1
Ceo Dha Mandi Bahauddin,1046677.23,29399.0,1
Ceo Dha D.G.Khan,1037781.4,26350.0,1
Ceo Dha Bahawalnagar,954412.3999999999,22767.0,1
Ceo Dha Sahiwal,938727.46,20333.0,1
Ceo Dha Muzaffar Garh,936401.6799999999,27233.0,1
Ceo Dha Mianwali,907803.65,29833.0,1
Ceo Dha Attock,887496.89,24385.0,1
Chaudhary Medicine Center-Tt Singh,859425.2,440.0,1
Ceo Dha Okara,831657.0,28688.0,1
Ceo Dha Khushab,803660.75,30980.0,1
Wapda Hospital Peshawar,793289.0,8014.0,1
Ceo Dha Jhang,785442.79,31180.0,1
"Children Hospital, Faisalabad",760890.3200000001,4745.0,1
Freeze Pharma Company,750118.43,358955.0,1
Ceo Dha Sialkot,738612.0,20700.0,1
Somh Ff Karachi,726690.3,7159.0,1
Ceo Dha Bahawalpur,701678.14,15671.0,1
Dhq Hospital (Allied-Ii Hospital),655477.2,12321.0,1
Getz Pharma,642650.0,100.0,1
Ceo Dha Sargodha,636748.35,17067.0,1
Ittefaq Medical Store-Quetta,606375.0,16.0,1
Ceo Dha Pakpattan,589208.0,12400.0,1
Ceo Dha Rawalpindi,577306.6000000001,31800.0,1
Energia Pharma Services Nv,574900.5,159357.0,1
Assene-Laborex Ltd,557950.23,618271.0,1
Martin Dow Marker Ltd.,554844.6900000001,135.0,1
Ceo Dha Chakwal,548424.97,11333.0,1
Pharma Cure International,542292.06,1327.0,1
Pharmatec Pakistan (Pvt) Ltd.,541480.0,320.0,1
Rehman Brothers,539050.05,1631.0,1
Harley'S Limited,515705.26,416194.0,1
Himont Pharmaceuticals (Pvt) Ltd,510740.0,315.0,1
Indus Pharma (Pvt) Ltd,507457.0,250.0,1
Access Point Int'L Trading Inc.,485075.62,362391.0,1
Director Ayub Teaching Hospital,471579.02,4292.0,1
Ceo Dha Layyah,463243.03,17463.0,1
Al Mustafa Enterprises,462300.0,60.0,1
Ms Punjab Inst. Of Neurosciences-Lh,424835.82,1786.0,1
Sirajuddin & Sons - Quetta,404250.0,11.0,1
Ceo Dha Nankana Sahib,402209.49,17234.0,1
Fauji Foundation Hosp. Peshawar,377632.0,4242.0,1
State Pharmaceuticals Corporation,365756.24,472854.0,1
New Majeed Medicine Co.,361352.93,2195.0,1
Ceo Dha Hafizabad,346156.35,10767.0,1
Rgs Innovative Health Sciences,345630.0,14.0,1
Ruya Al-Sihiya Company,324346.39,531060.0,1
Allons Enterprises,315684.57,1037.0,1
A.A. Traders,315327.67,943.0,1
Ceo Dha Chiniot,315250.0,11000.0,1
Sante (Private) Ltd.,305200.0,278.0,1
Tabba Heart Inst. C/O M.Abdullah En,299096.05,1684.0,1
Ceo Dha Narowal,298357.27,14767.0,1
Ceo Dha Gujranwala,277460.94999999995,10600.0,1
Ferozsons Labortories Ltd,276479.4,75.0,1
Aspin Pharma (Pvt.) Ltd.,265500.0,255.0,1
"The Children'S Hospital, Lahore",247500.0,450.0,1
Macter International Ltd.,242820.0,38.0,1
Dynam Pharma,213702.58,755.0,1
Sky Healthcare Ltd,199225.64,178635.0,1
Barrett Hodgson Pakistan (Pvt) Ltd,193856.0,25.0,1
Onco Pharma - Karachi,188418.0,56.0,1
Ceo Dha Khanewal,184862.7,4734.0,1
Q-Pharma,178782.04,133176.0,1
Imran Medicine Company - Hafizabad,162760.56,388.0,1
Life Pharma - Qatar,131529.72,113998.0,1
Amethyst Global (Thailand) Co.Ltd,129734.7,43582.0,1
Otsuka Pakistan Ltd,128135.4,60.0,1
Ceo District Health Authority,126658.56,589.0,1
Life Support Pvt Ltd,119357.55,80399.0,1
"Nacopharm Mb Co., Ltd",118203.75,161412.0,1
Hilton Pharma,116213.2,42.0,1
N.G.Group,100911.01,242169.0,1
